Ranking,P1 BWF ID,P1 Last Name,P1 First Name,P1 Country,P2 BWF ID,P2 Last Name,P2 First Name,P2 Country,Points,Tour
1,71023,FUKUSHIMA,Yuki,JPN,94519,HIROTA,Sayaka,JPN,101608,24
2,55874,KIM,Soyeong,KOR,71391,KONG,Heeyong,KOR,101182,33
3,94125,CHEN,Qing Chen,CHN,65144,JIA,Yi Fan,CHN,100458,22
4,91292,LEE,Sohee,KOR,87473,SHIN,Seungchan,KOR,99769,28
5,81609,MATSUMOTO,Mayu,JPN,77832,NAGAHARA,Wakana,JPN,96683,22
6,14729,POLII,Greysia,INA,81462,RAHAYU,Apriyani,INA,96375,31
7,65212,MATSUYAMA,Nami,JPN,68282,SHIDA,Chiharu,JPN,82949,22
8,65984,DU,Yue,CHN,82249,LI,Yin Hui,CHN,78729,22
9,24686,KITITHARAKUL,Jongkolphan,THA,84669,PRAJONGJAI,Rawinda,THA,77019,41
10,43840,STOEVA,Gabriela,BUL,46169,STOEVA,Stefani,BUL,65250,31
11,54361,CHANG,Ye Na,KOR,57824,KIM,Hyerin,KOR,62940,19
12,12411,CHOW,Mei Kuan,MAS,93215,LEE,Meng Yean,MAS,60944,26
13,50715,BIRCH,Chloe,ENG,80918,SMITH,Lauren,ENG,60444,39
14,56706,BAEK,Ha Na,KOR,16745,JUNG,Kyung Eun,KOR,59110,17
15,78837,LI,Wen Mei,CHN,85331,ZHENG,Yu,CHN,58809,22
16,85551,TAN,Pearly,MAS,68628,THINAAH,Muralitharan,MAS,57272,25
17,70042,FRUERGAARD,Maiken,DEN,68189,THYGESEN,Sara,DEN,55933,30
18,68441,SUPAJIRAKUL,Puttita,THA,67158,TAERATTANACHAI,Sapsiree,THA,54304,26
19,67176,PIEK,Selena,NED,70503,SEINEN,Cheryl,NED,52824,24
20,60567,LIU,Xuan Xuan,CHN,68753,XIA,Yu Ting,CHN,50066,25
21,49765,PONNAPPA,Ashwini,IND,17515,REDDY N.,Sikki,IND,48706,33
22,54149,HOO,Vivian,MAS,95841,YAP,Cheng Wen,MAS,48502,24
23,95664,HONDERICH,Rachel,CAN,72164,TSAI,Kristen,CAN,47652,33
24,95643,MAGELUND,Amalie,DEN,88933,RAVN,Freja,DEN,46037,26
25,83211,SAKURAMOTO,Ayako,JPN,63277,TAKAHATA,Yukiko,JPN,45304,16
26,66961,HARIS,Della Destiara,INA,91654,PRADIPTA,Rizki Amelia,INA,44963,14
27,88097,RAMADHANTI,Siti Fadia Silva,INA,96455,SUGIARTO,Ribka,INA,44618,20
28,54079,LEFEL,Emilie,FRA,98854,TRAN,Anne,FRA,44577,26
29,77441,MAPASA,Setyana,AUS,58488,SOMERVILLE,Gronya,AUS,44260,26
30,83942,EFLER,Linda,GER,98052,LOHAU,Isabel,GER,43880,35
31,88779,BØJE,Alexandra,DEN,43761,POULSEN,Mette,DEN,43474,25
32,74561,HSU,Ya Ching,TPE,87176,HU,Ling Fang,TPE,42377,32
33,64949,DONG,Wen Jing,CHN,59576,FENG,Xue Ying,CHN,40380,17
34,88135,IWANAGA,Rin,JPN,87428,NAKANISHI,Kie,JPN,39520,11
35,81907,MALKOVA,Ekaterina,RUS,72565,DAVLETOVA,Alina,RUS,38153,27
36,60838,MARWAH,Nita Violina,INA,94011,SYAIKAH,Putri,INA,37950,16
37,65751,HOSHI,Chisato,JPN,84120,MATSUDA,Aoi,JPN,36350,12
38,67168,CHALADCHALAM,Chayanit,THA,56460,MUENWONG,Phataimas,THA,34591,13
39,70762,DELRUE,Delphine,FRA,98329,PALERMO,Lea,FRA,34085,22
40,61746,HANY,Doha,EGY,52901,HOSNY,Hadia,EGY,32353,24
41,91715,MACPHERSON,Julie,SCO,92277,TORRANCE,Ciara,SCO,32067,19
42,70371,FINNE-IPSEN,Julie,DEN,64816,SURROW,Mai,DEN,31710,23
43,33989,AKCHURINA,Anastasiia,RUS,85822,MOROZOVA,Olga,RUS,31709,25
44,80871,AIMSAARD,Benyapa,THA,79198,AIMSAARD,Nuntakarn,THA,30690,16
45,62426,ERCETIN,Bengisu,TUR,73023,INCI,Nazlıcan,TUR,30564,15
46,76188,TIRTOSENTONO,Alyssa,NED,89732,VAN DER AAR,Imke,NED,30170,11
47,66267,MARRAN,Kati-Kreet,EST,75821,RÜÜTEL,Helina,EST,29980,23
48,73556,MAGNUSSON,Johanna,SWE,80474,NISTAD,Clara,SWE,29490,10
49,58324,BUSCH,Christine,DEN,70651,SCHULZ,Amalie,DEN,29320,21
50,98566,KARLSSON,Emma,SWE,73556,MAGNUSSON,Johanna,SWE,29320,16
51,75270,CHANG,Ching Hui,TPE,78687,YANG,Ching Tun,TPE,29224,21
52,92339,CHENG,Chi Ya,TPE,77386,LEE,Chih Chen,TPE,29030,15
53,59206,JAKKAMPUDI,Meghana,IND,73496,S RAM,Poorvisha,IND,28480,16
54,57791,CHOI,Catherine,CAN,86226,WU,Josephine,CAN,27770,14
55,63677,DANDU,Pooja,IND,83690,SANJANA SANTOSH,,IND,26970,18
56,71801,KOREPAP,Chasinee,THA,72504,SUDJAIPRAPARAT,Jhenicha,THA,26850,13
57,61986,NG,Tsz Yau,HKG,88932,YUEN,Sin Ying,HKG,26538,16
58,90317,HERIAU,Vimala,FRA,99891,LAMBERT,Margot,FRA,26038,20
59,57457,LIMA,Jaqueline,BRA,76507,LIMA,Samia,BRA,25757,12
60,89068,MOORE,Jenny,ENG,56958,WILLIAMS,Victoria,ENG,25601,15
