Ranking,BWF ID,Last Name,First Name,Country,Points,Tour
1,61427,TAI,Tzu Ying,TPE,108800,19
2,96312,YAMAGUCHI,Akane,JPN,105149,31
3,78778,CHEN,Yu Fei,CHN,102454,20
4,87442,AN,Seyoung,KOR,97753,36
5,96713,OKUHARA,Nozomi,JPN,95886,21
6,18228,MARIN,Carolina,ESP,95800,20
7,73173,PUSARLA V.,Sindhu,IND,90994,31
8,35642,INTANON,Ratchanok,THA,86268,32
9,87434,HE,Bing Jiao,CHN,79915,23
10,84062,CHOCHUWONG,Pornpawee,THA,76254,37
11,84523,LI,Michelle,CAN,68845,30
12,58271,ONGBAMRUNGPHAN,Busanan,THA,65254,39
13,34890,TAKAHASHI,Sayaka,JPN,62364,29
14,91224,BLICHFELDT,Mia,DEN,62192,25
15,53806,ZHANG,Beiwen,USA,57700,25
16,61854,WANG,Zhi Yi,CHN,56195,19
17,83822,YEO,Jia Min,SGP,55545,30
18,76594,SUNG,Jihyun,KOR,54010,24
19,48528,GILMOUR,Kirsty,SCO,52660,33
20,70930,KIM,Gaeun,KOR,52598,34
21,62301,CHAIWAN,Phittayaporn,THA,52381,29
22,85302,CHRISTOPHERSEN,Line,DEN,51275,29
23,91106,LI,Yvonne,GER,49933,43
24,95189,OHORI,Aya,JPN,49506,29
25,52748,NEHWAL,Saina,IND,49257,26
26,83802,TUNJUNG,Gregoria Mariska,INA,48975,31
27,92967,HAN,Yue,CHN,48606,23
28,92400,KOSETSKAYA,Evgeniya,RUS,48560,38
29,87885,YIGIT,Neslihan,TUR,46940,32
30,57971,JINDAPOL,Nitchaon,THA,44677,22
31,63437,KJAERSFELDT,Line Højmark,DEN,43401,32
32,89700,CAI,Yan Yan,CHN,43193,21
33,91422,KATETHONG,Supanida,THA,41783,24
34,58720,ZHANG,Yi Man,CHN,40810,19
35,57798,WANG,Iris,USA,39780,28
36,55318,TAN,Lianne,BEL,39476,37
37,87709,CHEUNG,Ngan Yi,HKG,39310,25
38,18143,CHEAH,Soniia,MAS,39131,23
39,99925,PAI,Yu Po,TPE,39090,26
40,58637,CHEN,Xiao Xin,CHN,38320,12
41,77002,JAKOBSEN,Julie Dawall,DEN,36514,30
42,96892,FITRIANI,Fitriani,INA,35614,22
43,77256,QI,Xuefei,FRA,34860,31
44,61568,KAWAKAMI,Saena,JPN,34850,13
45,81986,HARTAWAN,Ruselli,INA,34720,24
46,74218,AZURMENDI,Clara,ESP,34213,26
47,73015,KUUBA,Kristin,EST,33700,35
48,54511,BURANAPRASERTSUK,Porntip,THA,33480,15
49,99069,SIM,Yujin,KOR,33316,20
50,75678,NGUYEN,Thuy Linh,VIE,31506,17
51,95780,CORRALES,Beatriz,ESP,31397,20
52,94712,TAKAHASHI,Asuka,JPN,31240,10
53,54068,JAQUET,Sabrina,SUI,30769,29
54,91598,KIM,Hyo Min,KOR,30490,16
55,97087,TAM,Brittney,CAN,30418,24
56,88582,HUET,LéOnice,FRA,29996,21
57,94743,BATOMENE,Marie,FRA,29441,29
58,71455,(B) VU,Thi Trang,VIE,28555,16
59,92014,KISONA,Selvaduray,MAS,28327,18
60,98643,DEMIRBAG,Aliye,TUR,27980,22
