Ranking,P1 BWF ID,P1 Last Name,P1 First Name,P1 Country,P2 BWF ID,P2 Last Name,P2 First Name,P2 Country,Points,Tour
1,90531,LIANG,Wei Keng,CHN,55414,WANG,Chang,CHN,97991,19
2,72435,RANKIREDDY,Satwiksairaj,IND,70500,SHETTY,Chirag,IND,90761,18
3,77262,KANG,Min Hyuk,KOR,66513,SEO,Seung Jae,KOR,89205,23
4,56203,CHIA,Aaron,MAS,99389,SOH,Wooi Yik,MAS,88164,23
5,92980,ASTRUP,Kim,DEN,44414,RASMUSSEN,Anders Skaarup,DEN,87359,21
6,88876,ALFIAN,Fajar,INA,91130,ARDIANTO,Muhammad Rian,INA,86829,22
7,81657,HOKI,Takuro,JPN,67903,KOBAYASHI,Yugo,JPN,80321,22
8,93367,LIU,Yu Chen,CHN,58241,OU,Xuan Yi,CHN,74638,21
9,91440,FIKRI,Muhammad Shohibul,INA,79658,MAULANA,Bagas,INA,71090,23
10,69448,LEE,Yang,TPE,96514,WANG,Chi‐Lin,TPE,70998,23
11,68633,CARNANDO,Leo Rolly,INA,84786,MARTHIN,Daniel,INA,67039,25
12,84064,ONG,Yew Sin,MAS,99066,TEO,Ee Yi,MAS,66310,25
13,51074,SETIAWAN,Hendra,INA,52749,AHSAN,Mohammad,INA,65620,19
14,88405,KOGA,Akira,JPN,77123,SAITO,Taichi,JPN,55794,23
15,59673,HE,Ji Ting,CHN,61160,ZHOU,Hao Dong,CHN,54330,18
16,67810,CHOI,Sol Gyu,KOR,61444,KIM,Won Ho,KOR,53520,12
17,99102,LEE,Jhe‐Huei,TPE,76275,YANG,Po‐Hsuan,TPE,51450,27
18,74732,KUSUMAWARDANA,Pramudya,INA,94430,RAMBITAN,Yeremia Erich Yoche Yacob,INA,50963,22
19,78409,MAN,Wei Chong,MAS,85129,TEE,Kai Wun,MAS,49900,16
20,76278,LANE,Ben,ENG,72478,VENDY,Sean,ENG,48917,23
21,84812,REN,Xiang Yu,CHN,58678,TAN,Qiang,CHN,48672,19
22,64729,KJÆR,Rasmus,DEN,57731,SØGAARD,Frederik,DEN,48302,17
23,56746,LU,Ching Yao,TPE,59709,YANG,Po Han,TPE,47908,25
24,68045,LAMSFUSS,Mark,GER,64909,SEIDEL,Marvin,GER,46797,19
25,57424,LEE,Fang‐Chih,TPE,70231,LEE,Fang‐Jen,TPE,46730,18
26,90768,GOH,Sze Fei,MAS,94814,IZZUDDIN,Nur,MAS,46450,13
27,93130,CHEN,Bo Yang,CHN,71223,LIU,Yi,CHN,44130,14
28,74324,MATSUI,Keiichiro,JPN,89680,TAKEUCHI,Yoshinori,JPN,42360,22
29,96604,MITSUHASHI,Kenya,JPN,86479,OKAMURA,Hiroki,JPN,40120,12
30,74816,JIN,Yong,KOR,82502,NA,Sung Seung,KOR,39080,15
31,67922,DUNN,Alexander,SCO,85159,HALL,Adam,SCO,38869,18
32,59673,HE,Ji Ting,CHN,84812,REN,Xiang Yu,CHN,38100,6
33,73936,JOMKOH,Supak,THA,73633,KEDREN,Kittinupong,THA,37152,21
34,58539,DONG,Adam (Xingyu),CAN,25322,YAKURA,Nyl,CAN,37142,24
35,88829,SU,Ching Heng,TPE,81108,YE,Hong Wei,TPE,36909,17
36,89416,CORVEE,Lucas,FRA,22038,LABAR,Ronan,FRA,35593,23
37,68681,CHANG,Ko‐Chi,TPE,79052,PO,Li‐Wei,TPE,35240,18
38,68134,LUNDGAARD,Daniel,DEN,60507,VESTERGAARD,Mads,DEN,34900,16
39,26394,GIDEON,Marcus Fernaldi,INA,80057,SUKAMULJO,Kevin Sanjaya,INA,34413,7
40,57740,ENDO,Ayato,JPN,94528,TAKEI,Yuta,JPN,34151,19
41,58493,LEE,Kevin,CAN,63683,LINDEMAN,Ty Alexander,CAN,33945,19
42,72885,POPOV,Christo,FRA,61628,POPOV,Toma Junior,FRA,33542,24
43,98935,ARJUN,M.R.,IND,57372,KAPILA,DHRUV,IND,32758,12
44,69316,BAY,Jeppe,DEN,60909,MØLHEDE,Lasse,DEN,32320,10
45,92913,CHIU,Hsiang Chieh,TPE,60516,YANG,Ming‐Tse,TPE,32100,14
46,61834,LOW,Hang Yee,MAS,87270,NG,Eng Cheong,MAS,32090,16
47,74827,GARAGA,Krishna Prasad,IND,66528,PANJALA,Vishnuvardhan Goud,IND,31702,15
48,87432,GUTAMA,Sabar Karyaman,INA,86136,ISFAHANI,Moh Reza Pahlevi,INA,31480,12
49,50937,KAOSAMAANG,Pharanyu,THA,60060,THONGSA‐NGA,Worrapol,THA,31410,22
50,80497,CHIU,Vinson,USA,94647,YUAN,Joshua,USA,30668,19
51,70028,GRIMLEY,Christopher,SCO,92470,GRIMLEY,Matthew,SCO,30546,20
52,56350,CHOONG,Hon Jian,MAS,88642,HAIKAL,Muhammad,MAS,30120,10
53,73857,SØNDERGAARD,Andreas,DEN,81705,TOFT,Jesper,DEN,30070,12
54,74574,WEI,Chun Wei,TPE,99841,WU,Guan Xun,TPE,28980,15
55,59319,KIM,Young Hyuk,KOR,72646,WANG,Chan,KOR,28680,10
56,93101,CASTILLO,Job,MEX,74987,MONTOYA NAVARRO,Luis Armando,MEX,28203,13
57,59472,GEISS,Bjarne,GER,78935,VOELKER,Jan Colin,GER,28016,17
58,93858,JILLE,Ruben,NED,91971,VAN DER LECQ,Ties,NED,27959,11
59,82378,KRÁL,Ondřej,CZE,91381,MENDREK,Adam,CZE,27902,17
60,67949,ARIF,Junaidi,MAS,88322,YAP,Roy King,MAS,27850,12
