Ranking,P1 BWF ID,P1 Last Name,P1 First Name,P1 Country,P2 BWF ID,P2 Last Name,P2 First Name,P2 Country,Points,Tour
1,83046,ZHENG,Si Wei,CHN,63168,HUANG,Ya Qiong,CHN,114256,17
2,58240,WATANABE,Yuta,JPN,79558,HIGASHINO,Arisa,JPN,96595,19
3,66513,SEO,Seung Jae,KOR,93074,CHAE,Yu Jung,KOR,90406,24
4,65267,FENG,Yan Zhe,CHN,89426,HUANG,Dong Ping,CHN,90400,23
5,63029,JIANG,Zhen Bang,CHN,57246,WEI,Ya Xin,CHN,80100,23
6,61731,PUAVARANUKROH,Dechapol,THA,67158,TAERATTANACHAI,Sapsiree,THA,77934,21
7,61444,KIM,Won Ho,KOR,99778,JEONG,Na Eun,KOR,74467,21
8,77689,TANG,Chun Man,HKG,61435,TSE,Ying Suet,HKG,69230,25
9,91090,CHEN,Tang Jie,MAS,59621,TOH,Ee Wei,MAS,69138,29
10,99521,CHRISTIANSEN,Mathias,DEN,88779,BØJE,Alexandra,DEN,67478,22
11,68544,GICQUEL,Thom,FRA,70762,DELRUE,Delphine,FRA,66171,17
12,81108,YE,Hong Wei,TPE,76717,LEE,Chia Hsin,TPE,60294,30
13,64944,MIDORIKAWA,Hiroki,JPN,55417,SAITO,Natsu,JPN,59320,25
14,81458,FERDINANSYAH,Dejan,INA,81702,WIDJAJA,Gloria Emanuelle,INA,57386,26
15,92593,GOH,Soon Huat,MAS,56352,LAI,Shevon Jemie,MAS,56384,27
16,66357,TABELING,Robin,NED,67176,PIEK,Selena,NED,55123,21
17,82009,YAMASHITA,Kyohei,JPN,99067,SHINOYA,Naru,JPN,54599,24
18,88451,RIVALDY,Rinov,INA,59465,MENTARI,Pitha Haningtyas,INA,53464,22
19,87045,KUSHARJANTO,Rehan Naufal,INA,82610,KUSUMAWATI,Lisa Ayu,INA,53330,25
20,73936,JOMKOH,Supak,THA,74980,PAEWSAMPRAN,Supissara,THA,52808,21
21,95761,KANEKO,Yuki,JPN,43851,MATSUTOMO,Misaki,JPN,50410,23
22,99181,HEE,Yong Kai Terry,SGP,59237,TAN,Wei Han Jessica,SGP,48956,26
23,84057,THYRRI,Mathias,DEN,95643,MAGELUND,Amalie,DEN,48469,18
24,92609,LEE,Chun Hei Reginald,HKG,61986,NG,Tsz Yau,HKG,48180,24
25,67654,TAN,Kian Meng,MAS,47007,LAI,Pei Jing,MAS,47434,25
26,58931,CHENG,Xing,CHN,50469,CHEN,Fang Hui,CHN,46950,17
27,89916,JORDAN,Praveen,INA,82061,OKTAVIANTI,Melati Daeva,INA,44820,20
28,71349,ELLIS,Marcus,ENG,80918,SMITH,Lauren,ENG,40516,21
29,63683,LINDEMAN,Ty Alexander,CAN,86226,WU,Josephine,CAN,40296,20
30,68045,LAMSFUSS,Mark,GER,98052,LOHAU,Isabel,GER,39978,19
31,80497,CHIU,Vinson,USA,83074,GAI,Jennie,USA,39420,24
32,76275,YANG,Po‐Hsuan,TPE,87176,HU,Ling Fang,TPE,39404,28
33,60507,VESTERGAARD,Mads,DEN,58324,BUSCH,Christine,DEN,38630,17
34,75904,OUPTHONG,Ruttanapak,THA,72504,SUDJAIPRAPARAT,Jhenicha,THA,37435,18
35,68681,CHANG,Ko‐Chi,TPE,77386,LEE,Chih Chen,TPE,36800,22
36,58180,MAIRS,Gregory,ENG,89068,MAIRS,Jenny,ENG,35104,21
37,99102,LEE,Jhe‐Huei,TPE,74561,HSU,Ya Ching,TPE,34850,17
38,63571,MAULANA,Adnan,INA,60838,MARWAH,Nita Violina,INA,34772,14
39,63530,NISHI,Hiroki,JPN,91600,SATO,Akari,JPN,34500,10
40,60980,KAPOOR,Rohan,IND,17515,REDDY,Sikki,IND,33980,17
