Ranking,BWF ID,Last Name,First Name,Country,Points,Tour
1,25831,AXELSEN,Viktor,DEN,105655,16
2,62063,NARAOKA,Kodai,JPN,83515,23
3,95476,LI,Shi Feng,CHN,83398,23
4,95661,GINTING,Anthony Sinisuka,INA,83331,20
5,73442,CHRISTIE,Jonatan,INA,82111,18
6,57945,SHI,Yu Qi,CHN,81824,22
7,64032,VITIDSARN,Kunlavut,THA,81578,19
8,83950,PRANNOY,H. S.,IND,75487,20
9,91554,ANTONSEN,Anders,DEN,70930,22
10,76115,LOH,Kean Yew,SGP,68362,22
11,81561,LEE,Zii Jia,MAS,68226,24
12,85394,NISHIMOTO,Kenta,JPN,67217,27
13,57823,TSUNEYAMA,Kanta,JPN,63821,23
14,34810,CHOU,Tien Chen,TPE,61737,28
15,81362,NG,Tze Yong,MAS,59840,24
16,68870,SEN,Lakshya,IND,57851,22
17,94780,LEE,Cheuk Yiu,HKG,57564,27
18,77042,WENG,Hong Yang,CHN,57040,21
19,77427,LU,Guang Zu,CHN,55570,20
20,45171,NG,Ka Long Angus,HKG,54522,25
21,86114,LIN,Chun‐Yi,TPE,51528,26
22,71408,DWI WARDOYO,Chico Aura,INA,49064,19
23,97174,WATANABE,Koki,JPN,48920,17
24,93627,KIDAMBI,Srikanth,IND,48183,22
25,61628,POPOV,Toma Junior,FRA,47907,24
26,63122,YANG,Brian,CAN,47686,26
27,72885,POPOV,Christo,FRA,46430,21
28,87375,WANG,Tzu Wei,TPE,46040,25
29,62855,GEMKE,Rasmus,DEN,45709,15
30,95930,ZHAO,Jun Peng,CHN,42708,16
31,69093,RAJAWAT,Priyanshu,IND,42110,17
32,97030,JOHANNESEN,Magnus,DEN,39950,20
33,59322,LEE,Chia Hao,TPE,38548,23
34,74076,OBAYASHI,Takuma,JPN,38220,12
35,94397,SU,Li Yang,TPE,38150,20
36,92508,WANGCHAROEN,Kantaphon,THA,38024,25
37,68317,GEORGE,Kiran,IND,36490,20
38,89785,MOMOTA,Kento,JPN,36300,12
39,84838,LEONG,Jun Hao,MAS,36298,17
40,77848,CHI,Yu Jen,TPE,35770,21
41,85095,NGUYEN,Nhat,IRL,35363,21
42,54897,CORDON,Kevin,GUA,35282,15
43,59543,MERKLE,Arnaud,FRA,34259,16
44,94580,LANIER,Alex,FRA,34170,13
45,52953,ZILBERMAN,Misha,ISR,33731,18
46,70399,CARRAGGI,Julien,BEL,33650,21
47,96429,COELHO,Ygor,BRA,32830,18
48,91673,LEI,Lan Xi,CHN,32347,11
49,61423,LOUDA,Jan,CZE,31394,18
50,81887,RHUSTAVITO,Shesar Hiren,INA,30770,11
51,79164,KARUNAKARAN,Sathish Kumar,IND,30660,19
52,76973,CALJOUW,Mark,NED,30175,18
53,83938,CHRISTOPHERSEN,Mads,DEN,29990,19
54,74579,CANJURA ARTIGA,Uriel Francisco,ESA,29750,16
55,98595,HUANG,Yu Kai,TPE,29330,20
56,86672,TANAKA,Yushi,JPN,28990,13
57,65580,JEON,Hyeok Jin,KOR,28899,17
58,92655,KOLJONEN,Kalle,FIN,28461,18
59,86470,MATIAS,Jonathan,BRA,27421,19
60,58089,FARHAN,Alwi,INA,27150,11
